N,P,K,temperature,humidity,ph,rainfall,label
61,52,41,24.9767,83.89181,6.880431,204.8002,Paddy
78,35,44,26.54348,84.67354,7.072656,183.6223,Paddy
60,48,39,24.28209,80.30026,7.042299,231.0863,Paddy
82,43,38,23.28617,81.43322,5.105588,242.3171,Paddy
77,38,36,21.86525,80.1923,5.953933,224.555,Paddy
71,46,40,20.28019,82.12354,7.236705,191.9536,Paddy
60,55,45,21.40866,83.32932,5.935745,287.5767,Paddy
95,55,42,26.79534,82.14809,5.950661,193.3474,Paddy
93,56,42,23.85724,82.22573,7.382763,195.0948,Paddy
99,41,36,24.45802,82.74836,6.738652,182.5616,Paddy
60,55,44,23.00446,82.32076,7.840207,263.9642,Paddy
84,50,44,25.48592,81.40634,5.935344,182.6549,Paddy
66,53,41,25.07564,80.52389,7.778915,257.0039,Paddy
91,50,40,20.82477,84.13419,6.462392,230.2242,Paddy
85,38,41,21.58712,82.78837,6.249051,276.6552,Paddy
91,53,40,26.52724,81.41754,5.386168,264.6149,Paddy
83,60,36,25.59705,80.14509,6.903986,200.8349,Paddy
97,50,41,24.52923,80.54499,7.07096,260.2634,Paddy
78,42,42,20.13017,81.60487,7.628473,262.7173,Paddy
69,55,38,22.70884,82.63941,5.700806,271.3249,Paddy
83,41,43,21.05254,82.6784,6.254028,233.1076,Paddy
93,56,36,24.01498,82.05687,6.984354,185.2773,Paddy
91,35,38,24.89728,80.52586,6.134287,183.6793,Paddy
61,53,43,26.40323,81.05636,6.349606,223.3672,Paddy
97,36,45,22.2287,81.85873,6.939084,278.0792,Paddy
60,43,44,21.01945,82.95222,7.416245,298.4018,Paddy
67,59,41,21.94767,80.97384,6.012633,213.3561,Paddy
63,44,41,24.17299,83.72876,5.58337,257.0344,Paddy
76,47,42,20.0837,83.29115,5.739175,263.6372,Paddy
77,36,37,26.88445,81.46034,6.136132,194.5767,Paddy
81,53,42,23.67575,81.03569,5.177823,233.7035,Paddy
83,58,45,25.75529,83.51827,5.875346,245.6627,Paddy
84,51,35,22.30157,80.64416,6.043305,197.9791,Paddy
75,38,39,23.44677,84.79352,6.21511,283.9338,Paddy
98,53,38,20.26708,81.63895,5.014507,270.4417,Paddy
73,57,41,21.44654,84.94376,5.824709,272.2017,Paddy
90,46,42,23.97898,81.45062,7.502834,250.0832,Paddy
60,51,36,22.69658,82.81089,6.028322,256.9965,Paddy
76,49,42,24.95878,84.47963,5.206373,196.956,Paddy
89,45,36,21.32504,80.47476,6.442475,185.4975,Paddy
76,60,39,20.04541,80.34776,6.76624,208.581,Paddy
67,47,44,26.73072,81.78597,7.868475,280.4044,Paddy
64,45,43,25.6298,83.52842,5.534878,209.9002,Paddy
67,43,39,26.04372,84.96907,5.999969,186.7537,Paddy
76,40,43,25.15746,83.11713,5.070176,231.3843,Paddy
79,42,37,24.87301,82.84023,6.587919,295.6094,Paddy
68,58,38,23.22397,83.03323,6.336254,221.2092,Paddy
88,46,42,22.68319,83.46358,6.604993,194.2652,Paddy
74,35,40,26.4911,80.15836,6.980401,242.864,Paddy
82,40,40,23.83067,84.8136,6.271479,298.5601,Paddy
90,44,38,23.8351,83.88387,7.473134,241.2014,Paddy
94,50,37,25.66585,80.66385,6.94802,209.587,Paddy
